0,3.1001
3.618,11.5664
11.5664,18.1149
18.1149,20.9148
20.9148,22.9984
22.9984,26.8149
26.8149,30.2978
30.2978,32.5313
32.5313,35.9461
35.9461,41.2942
41.2942,47.5417
47.8074,49.6071
49.6071,51.689
51.689,55.2204
55.2204,57.3197
57.3197,62.1676
62.3676,64.2836
64.2836,70.8314
72.8641,74.647
75.4302,78.0616
78.0616,80.8754
80.8754,83.9232
83.9232,89.1204
89.1204,93.1689
93.1689,96.4509
96.4509,102.099
102.099,105.9967
105.9967,109.3452
114.3417,119.3065
119.7068,125.0713
125.0713,128.7699
129.0367,137.1694
